CCSNAME,CSDNAME,CSDTYPE,CSDUID,DGUID,LANDAREA,PRUID,max,mean,median,min,std
St. John's,St. John's,CY,1001519,2021A00051001519,446.0185,10,278.0,141.12196249248902,-19.0,-19.0,3.4800585975006517
"Division No.  1, Subd. C","Division No.  1, Subd. C",SNO,1001214,2021A00051001214,815.6416,10,297.0,147.35234305946528,-12.0,-12.0,3.110367779152103
"Division No.  1, Subd. H","Division No.  1, Subd. H",SNO,1001357,2021A00051001357,57.2012,10,255.0,137.6460328852331,0.0,0.0,3.5080753148077184
"Division No.  2, Subd. E","Division No.  2, Subd. E",SNO,1002001,2021A00051002001,136.5785,10,236.0,76.99155930904112,-2.0,-2.0,4.718178506874349
"Division No.  4, Subd. B","Division No.  4, Subd. B",SNO,1004006,2021A00051004006,1809.3355,10,670.0,321.9564363910461,-3.0,-3.0,6.094975945949279
"Division No.  7, Subd. F","Division No.  7, Subd. F",SNO,1007028,2021A00051007028,296.9469,10,271.0,85.12654893430718,-1.0,-1.0,3.756591576088594
"Division No.  8, Subd. G","Division No.  8, Subd. G",SNO,1008036,2021A00051008036,521.391,10,161.0,43.10834606906253,-1.0,-1.0,3.073847876815863
"Division No. 10, Subd. A","Division No. 10, Subd. A",SNO,1010001,2021A00051010001,3673.4632,10,544.0,274.52555530426343,-3.0,-3.0,3.280908323161264
Mount Pearl,Mount Pearl,CY,1001542,2021A00051001542,15.6508,10,257.0,151.52099361300617,73.0,73.0,2.6940108789520893
Corner Brook,Corner Brook,CY,1005018,2021A00051005018,147.8817,10,608.0,236.40737678027716,0.0,0.0,7.291355577797029
Samiajij Miawpukek,Samiajij Miawpukek,IRI,1003801,2021A00051003801,16.7025,10,204.0,113.2113356478449,0.0,0.0,4.082735925686216
Natuashish 2,Natuashish 2,IRI,1010801,2021A00051010801,44.0062,10,199.0,28.74332348164125,-2.0,-2.0,3.7177682998305497
Sheshatshiu 3,Sheshatshiu 3,IRI,1010802,2021A00051010802,8.4781,10,53.0,17.637192423437785,0.0,0.0,1.188432512133306
"Division No.  1, Subd. V","Division No.  1, Subd. V",SNO,1001101,2021A00051001101,870.8928,10,263.0,122.85944318692842,-6.0,-6.0,2.1831410668205
"Division No.  1, Subd. U","Division No.  1, Subd. U",SNO,1001124,2021A00051001124,742.3781,10,328.0,146.6288080094629,-2.0,-2.0,3.0740893634669537
"Division No.  1, Subd. W","Division No.  1, Subd. W",SNO,1001155,2021A00051001155,821.9715,10,288.0,135.99537367418904,-3.0,-3.0,2.508841788911231
"Division No.  1, Subd. X","Division No.  1, Subd. X",SNO,1001203,2021A00051001203,567.6216,10,299.0,86.4546045717591,-2.0,-2.0,1.7336074755970652
"Division No.  1, Subd. B","Division No.  1, Subd. B",SNO,1001234,2021A00051001234,454.3362,10,313.0,130.5611352083327,-3.0,-3.0,4.259556743268305
"Division No.  1, Subd. Y","Division No.  1, Subd. Y",SNO,1001293,2021A00051001293,190.7606,10,202.0,84.72001680403034,-1.0,-1.0,2.223367102535649
"Division No.  1, Subd. F","Division No.  1, Subd. F",SNO,1001321,2021A00051001321,173.0183,10,267.0,143.81497388903358,0.0,0.0,2.7779462476408434
"Division No.  1, Subd. G","Division No.  1, Subd. G",SNO,1001339,2021A00051001339,302.6908,10,292.0,137.39002919706127,-13.0,-13.0,4.149752934878777
"Division No.  1, Subd. I","Division No.  1, Subd. I",SNO,1001374,2021A00051001374,64.1063,10,207.0,132.59905396202183,-1.0,-1.0,2.7120675186780754
"Division No.  1, Subd. J","Division No.  1, Subd. J",SNO,1001391,2021A00051001391,0.452,10,167.0,97.9368886083938,70.0,70.0,4.7155791150751085
"Division No.  1, Subd. K","Division No.  1, Subd. K",SNO,1001405,2021A00051001405,37.1251,10,167.0,91.01602829804274,24.0,24.0,2.721659233616283
"Division No.  1, Subd. L","Division No.  1, Subd. L",SNO,1001415,2021A00051001415,8.1024,10,78.0,24.50829903067323,-1.0,-1.0,3.6016343556347508
"Division No.  1, Subd. M","Division No.  1, Subd. M",SNO,1001421,2021A00051001421,139.9815,10,181.0,96.31626178517308,-1.0,-1.0,2.262565288452252
"Division No.  1, Subd. N","Division No.  1, Subd. N",SNO,1001441,2021A00051001441,12.8506,10,186.0,97.64677477850888,-2.0,-2.0,4.775483601501737
"Division No.  1, Subd. O","Division No.  1, Subd. O",SNO,1001452,2021A00051001452,78.3758,10,231.0,132.41425192969993,-3.0,-3.0,2.591422744970723
"Division No.  1, Subd. R","Division No.  1, Subd. R",SNO,1001490,2021A00051001490,16.8231,10,142.0,71.85746286253247,-3.0,-3.0,4.49529587486261
"Division No.  1, Subd. D","Division No.  1, Subd. D",SNO,1001565,2021A00051001565,298.0624,10,326.0,178.50295078949708,0.0,0.0,2.3408408036508748
"Division No.  2, Subd. F","Division No.  2, Subd. F",SNO,1002006,2021A00051002006,198.8912,10,287.0,121.49819701849913,0.0,0.0,3.127862358089574
"Division No.  2, Subd. G","Division No.  2, Subd. G",SNO,1002009,2021A00051002009,366.98,10,261.0,105.63843835789892,0.0,0.0,2.2818269667503097
"Division No.  2, Subd. H","Division No.  2, Subd. H",SNO,1002016,2021A00051002016,269.3464,10,244.0,93.67579962999004,0.0,0.0,1.29177567529959
"Division No.  2, Subd. D","Division No.  2, Subd. D",SNO,1002022,2021A00051002022,33.1672,10,159.0,59.417542954396986,0.0,0.0,4.840551600210857
"Division No.  2, Subd. I","Division No.  2, Subd. I",SNO,1002026,2021A00051002026,491.9819,10,374.0,155.92223293840053,-1.0,-1.0,4.725229870778086
"Division No.  2, Subd. J","Division No.  2, Subd. J",SNO,1002029,2021A00051002029,267.481,10,382.0,159.4951712693786,0.0,0.0,5.844658261403302
"Division No.  2, Subd. C","Division No.  2, Subd. C",SNO,1002031,2021A00051002031,1463.649,10,370.0,140.4903084358269,0.0,0.0,4.138767400429354
"Division No.  2, Subd. L","Division No.  2, Subd. L",SNO,1002044,2021A00051002044,873.6169,10,370.0,141.06774339679023,-12.0,-12.0,5.32354694274871
"Division No.  2, Subd. K","Division No.  2, Subd. K",SNO,1002048,2021A00051002048,1027.9582,10,382.0,186.67607769252908,-1.0,-1.0,3.226496836929906
"Division No.  3, Subd. B","Division No.  3, Subd. B",SNO,1003006,2021A00051003006,253.3624,10,406.0,128.48028187871893,-4.0,-4.0,7.578649703886268
"Division No.  3, Subd. C","Division No.  3, Subd. C",SNO,1003009,2021A00051003009,711.6529,10,398.0,165.28081882633697,-1.0,-1.0,6.663444641487489
"Division No.  3, Subd. D","Division No.  3, Subd. D",SNO,1003014,2021A00051003014,6611.0746,10,676.0,289.88557693649426,-1.0,-1.0,3.476858735723069
"Division No.  3, Subd. E","Division No.  3, Subd. E",SNO,1003021,2021A00051003021,2468.0974,10,489.0,261.26497123517163,-7.0,-7.0,7.379354033684981
"Division No.  3, Subd. F","Division No.  3, Subd. F",SNO,1003024,2021A00051003024,2548.5941,10,564.0,282.05650121691923,-7.0,-7.0,5.282053028780554
"Division No.  3, Subd. H","Division No.  3, Subd. H",SNO,1003031,2021A00051003031,665.0644,10,618.0,268.1729472356115,-2.0,-2.0,5.169193029520957
"Division No.  3, Subd. I","Division No.  3, Subd. I",SNO,1003038,2021A00051003038,2121.156,10,631.0,298.2279838357432,-3.0,-3.0,4.418262230983626
"Division No.  3, Subd. J","Division No.  3, Subd. J",SNO,1003042,2021A00051003042,646.3061,10,621.0,333.37737781864035,0.0,0.0,4.715869920310994
"Division No.  4, Subd. A","Division No.  4, Subd. A",SNO,1004001,2021A00051004001,1204.4626,10,636.0,282.5649308767212,-1.0,-1.0,7.8495363749553215
"Division No.  4, Subd. C","Division No.  4, Subd. C",SNO,1004011,2021A00051004011,2365.4474,10,626.0,295.67405382321084,0.0,0.0,6.447177332776495
