CCSNAME,CSDNAME,CSDTYPE,CSDUID,DGUID,Gpp_max,Gpp_mean,Gpp_min,LANDAREA,Npp_max,Npp_mean,Npp_min,PRUID,date
St. John's,St. John's,CY,1001519,2021A00051001519,65535,16595.84869,3675.25,446.0185,8798,6909.848876,2534,10,2021-2024
"Division No.  1, Subd. C","Division No.  1, Subd. C",SNO,1001214,2021A00051001214,65535,10437.73374,4414.25,815.6416,9370.75,6128.435737,2839,10,2021-2024
"Division No.  1, Subd. H","Division No.  1, Subd. H",SNO,1001357,2021A00051001357,65535,11497.99647,6133,57.2012,8423.5,6676.046991,4290.25,10,2021-2024
"Division No.  2, Subd. E","Division No.  2, Subd. E",SNO,1002001,2021A00051002001,65535,14157.29021,3941.75,136.5785,9102,6629.725682,2567.75,10,2021-2024
"Division No.  4, Subd. B","Division No.  4, Subd. B",SNO,1004006,2021A00051004006,65535,10366.38959,3648.5,1809.3355,9442.75,5887.223781,2292.5,10,2021-2024
"Division No.  7, Subd. F","Division No.  7, Subd. F",SNO,1007028,2021A00051007028,65534,12181.39346,3814.75,296.9469,7898,6384.138506,2650.25,10,2021-2024
"Division No.  8, Subd. G","Division No.  8, Subd. G",SNO,1008036,2021A00051008036,65535,14879.89893,2665,521.391,8233.75,6323.787784,1835,10,2021-2024
"Division No. 10, Subd. A","Division No. 10, Subd. A",SNO,1010001,2021A00051010001,65535,7324.145058,1479,3673.4632,6621,3611.449372,977.5,10,2021-2024
Mount Pearl,Mount Pearl,CY,1001542,2021A00051001542,65530,31377.1732,3695,15.6508,7337.25,5495.920492,2554.75,10,2021-2024
Corner Brook,Corner Brook,CY,1005018,2021A00051005018,65535,12715.58215,3439.5,147.8817,8376.25,6386.829648,2368,10,2021-2024
Samiajij Miawpukek,Samiajij Miawpukek,IRI,1003801,2021A00051003801,65535,12134.70937,5982.75,16.7025,7278.5,6332.054286,3944.75,10,2021-2024
Natuashish 2,Natuashish 2,IRI,1010801,2021A00051010801,65534,8051.080856,1868,44.0062,3982,3050.87953,1266.25,10,2021-2024
Sheshatshiu 3,Sheshatshiu 3,IRI,1010802,2021A00051010802,65534,8212.197339,2672.75,8.4781,5250.25,4246.103464,1902,10,2021-2024
"Division No.  1, Subd. V","Division No.  1, Subd. V",SNO,1001101,2021A00051001101,65535,10714.15907,5160.25,870.8928,11100.75,6106.20685,3536.75,10,2021-2024
"Division No.  1, Subd. U","Division No.  1, Subd. U",SNO,1001124,2021A00051001124,65535,13588.36344,4722.5,742.3781,8851,6481.346706,3219.5,10,2021-2024
"Division No.  1, Subd. W","Division No.  1, Subd. W",SNO,1001155,2021A00051001155,65535,12842.74081,2404.25,821.9715,8407.5,6434.266188,1671.25,10,2021-2024
"Division No.  1, Subd. X","Division No.  1, Subd. X",SNO,1001203,2021A00051001203,65535,11092.90726,4796.5,567.6216,7899.5,6315.710458,3179.5,10,2021-2024
"Division No.  1, Subd. B","Division No.  1, Subd. B",SNO,1001234,2021A00051001234,65535,11769.72652,2828.75,454.3362,8715.25,6415.64208,1984,10,2021-2024
"Division No.  1, Subd. Y","Division No.  1, Subd. Y",SNO,1001293,2021A00051001293,65535,12819.38587,6073.75,190.7606,8026.5,6578.008757,3869.75,10,2021-2024
"Division No.  1, Subd. F","Division No.  1, Subd. F",SNO,1001321,2021A00051001321,65535,12568.03782,6211.5,173.0183,8668.5,6480.763688,4067,10,2021-2024
"Division No.  1, Subd. G","Division No.  1, Subd. G",SNO,1001339,2021A00051001339,65535,11067.19016,4697,302.6908,8754.75,6164.606884,3216.25,10,2021-2024
"Division No.  1, Subd. I","Division No.  1, Subd. I",SNO,1001374,2021A00051001374,65534,12574.09163,4258.25,64.1063,8811.75,6941.186725,2906.25,10,2021-2024
"Division No.  1, Subd. J","Division No.  1, Subd. J",SNO,1001391,2021A00051001391,13037.5,11527.70711,9844.5,0.452,8492.25,7337.570261,6171.5,10,2021-2024
"Division No.  1, Subd. K","Division No.  1, Subd. K",SNO,1001405,2021A00051001405,65535,11866.27878,6967.75,37.1251,8414.5,6824.006961,4796.75,10,2021-2024
"Division No.  1, Subd. L","Division No.  1, Subd. L",SNO,1001415,2021A00051001415,65534,13784.5723,3910.25,8.1024,7705.75,5550.354329,2510.5,10,2021-2024
"Division No.  1, Subd. M","Division No.  1, Subd. M",SNO,1001421,2021A00051001421,65535,12790.18999,6136.5,139.9815,8116.25,6556.056656,4168.25,10,2021-2024
"Division No.  1, Subd. N","Division No.  1, Subd. N",SNO,1001441,2021A00051001441,65534,14166.80012,8117.25,12.8506,8116.25,6877.788535,5157.5,10,2021-2024
"Division No.  1, Subd. O","Division No.  1, Subd. O",SNO,1001452,2021A00051001452,65535,14512.45646,6613.5,78.3758,7978.5,6464.136377,4368,10,2021-2024
"Division No.  1, Subd. R","Division No.  1, Subd. R",SNO,1001490,2021A00051001490,65534,15756.84567,5105,16.8231,8471.75,6965.794465,3394.75,10,2021-2024
"Division No.  1, Subd. D","Division No.  1, Subd. D",SNO,1001565,2021A00051001565,65535,11395.36347,5495.75,298.0624,8708.25,6123.145903,3686.75,10,2021-2024
"Division No.  2, Subd. F","Division No.  2, Subd. F",SNO,1002006,2021A00051002006,65535,10672.61266,3392.5,198.8912,9577.25,6135.341109,2368.75,10,2021-2024
"Division No.  2, Subd. G","Division No.  2, Subd. G",SNO,1002009,2021A00051002009,65534,10590.56336,5595,366.98,9596.5,5822.480073,3562,10,2021-2024
"Division No.  2, Subd. H","Division No.  2, Subd. H",SNO,1002016,2021A00051002016,65535,10441.10126,4775.25,269.3464,9174,6303.504827,3251.25,10,2021-2024
"Division No.  2, Subd. D","Division No.  2, Subd. D",SNO,1002022,2021A00051002022,65535,13370.86401,4447.25,33.1672,9898.25,7340.890757,3076.5,10,2021-2024
"Division No.  2, Subd. I","Division No.  2, Subd. I",SNO,1002026,2021A00051002026,65535,11360.01776,4529.25,491.9819,8685.5,6104.466395,2873,10,2021-2024
"Division No.  2, Subd. J","Division No.  2, Subd. J",SNO,1002029,2021A00051002029,65535,9418.192949,2744,267.481,8360.25,5126.76728,1888.5,10,2021-2024
"Division No.  2, Subd. C","Division No.  2, Subd. C",SNO,1002031,2021A00051002031,65535,9884.315889,2193,1463.649,9249,5322.719988,1560.5,10,2021-2024
"Division No.  2, Subd. L","Division No.  2, Subd. L",SNO,1002044,2021A00051002044,65535,10261.96706,3432.75,873.6169,8362.25,5170.924335,2307.5,10,2021-2024
"Division No.  2, Subd. K","Division No.  2, Subd. K",SNO,1002048,2021A00051002048,65535,9984.620624,2891.5,1027.9582,7087.25,4412.500672,1850.25,10,2021-2024
"Division No.  3, Subd. B","Division No.  3, Subd. B",SNO,1003006,2021A00051003006,65535,11526.31443,3012.75,253.3624,9463,6032.992673,2066.25,10,2021-2024
"Division No.  3, Subd. C","Division No.  3, Subd. C",SNO,1003009,2021A00051003009,65535,10837.72191,3039.75,711.6529,9194.25,5925.245601,2137,10,2021-2024
"Division No.  3, Subd. D","Division No.  3, Subd. D",SNO,1003014,2021A00051003014,65535,15424.67535,1156,6611.0746,8885,4801.019772,798,10,2021-2024
"Division No.  3, Subd. E","Division No.  3, Subd. E",SNO,1003021,2021A00051003021,65534,9061.504846,2530,2468.0974,9093,4311.833379,1776.25,10,2021-2024
"Division No.  3, Subd. F","Division No.  3, Subd. F",SNO,1003024,2021A00051003024,65535,8524.983868,2087,2548.5941,9031.75,4591.489081,1464.75,10,2021-2024
"Division No.  3, Subd. H","Division No.  3, Subd. H",SNO,1003031,2021A00051003031,65535,9831.792421,2835.5,665.0644,10031.75,5407.588634,1972,10,2021-2024
"Division No.  3, Subd. I","Division No.  3, Subd. I",SNO,1003038,2021A00051003038,65535,8516.528957,2087,2121.156,9115.5,4545.768155,1464.75,10,2021-2024
"Division No.  3, Subd. J","Division No.  3, Subd. J",SNO,1003042,2021A00051003042,65535,7948.657577,2951.75,646.3061,8962.25,4625.115954,1972,10,2021-2024
"Division No.  4, Subd. A","Division No.  4, Subd. A",SNO,1004001,2021A00051004001,65535,11545.46018,2216.5,1204.4626,10410.5,6475.663701,1553.75,10,2021-2024
"Division No.  4, Subd. C","Division No.  4, Subd. C",SNO,1004011,2021A00051004011,65535,11277.93412,2347.75,2365.4474,8757.25,5660.896282,1633.5,10,2021-2024
"Division No.  4, Subd. D","Division No.  4, Subd. D",SNO,1004016,2021A00051004016,65535,10548.4018,1005.75,1148.8142,9206,5962.905649,670.75,10,2021-2024
"Division No.  4, Subd. E","Division No.  4, Subd. E",SNO,1004022,2021A00051004022,65535,13212.74753,1967,295.4204,10022,7423.992606,1429,10,2021-2024
"Division No.  5, Subd. A","Division No.  5, Subd. A",SNO,1005001,2021A00051005001,65535,15089.8146,2207.25,2412.9253,7733.75,4865.169373,1501.5,10,2021-2024
"Division No.  5, Subd. G","Division No.  5, Subd. G",SNO,1005003,2021A00051005003,65535,9603.52665,2523.25,3409.2154,7247.25,4815.04973,1669.75,10,2021-2024
"Division No.  5, Subd. F","Division No.  5, Subd. F",SNO,1005010,2021A00051005010,65535,16845.90101,4735.75,823.7189,8268.5,6136.928025,2895,10,2021-2024
"Division No.  5, Subd. C","Division No.  5, Subd. C",SNO,1005016,2021A00051005016,65535,13953.06812,5676.75,483.4966,8266.25,6398.38635,3718.75,10,2021-2024
"Division No.  5, Subd. D","Division No.  5, Subd. D",SNO,1005019,2021A00051005019,65535,10498.34683,1273.25,1320.1531,9202.5,5692.167886,890.5,10,2021-2024
"Division No.  6, Subd. D","Division No.  6, Subd. D",SNO,1006001,2021A00051006001,65535,10052.43341,3287.5,4180.7385,7280,5245.652359,2079.75,10,2021-2024
"Division No.  6, Subd. E","Division No.  6, Subd. E",SNO,1006008,2021A00051006008,65535,12650.09996,4382.25,2294.7377,7479,5573.064268,2687.75,10,2021-2024
"Division No.  6, Subd. C","Division No.  6, Subd. C",SNO,1006014,2021A00051006014,65535,11249.61988,2802.75,4007.2402,7463.75,5185.774051,1774.75,10,2021-2024
"Division No.  6, Subd. A","Division No.  6, Subd. A",SNO,1006029,2021A00051006029,65535,11893.34896,1151.5,5264.7269,8021.5,5035.673636,797.5,10,2021-2024
"Division No.  7, Subd. M","Division No.  7, Subd. M",SNO,1007001,2021A00051007001,65535,10214.01848,4148.25,450.2545,7583,5898.926294,2778.25,10,2021-2024
"Division No.  7, Subd. L","Division No.  7, Subd. L",SNO,1007006,2021A00051007006,65534,11143.6756,5122.75,242.8917,7797.25,6260.059329,3582.5,10,2021-2024
"Division No.  7, Subd. K","Division No.  7, Subd. K",SNO,1007009,2021A00051007009,65535,12984.57362,5074.75,484.9577,8097.75,6226.802202,3479.25,10,2021-2024
"Division No.  7, Subd. J","Division No.  7, Subd. J",SNO,1007014,2021A00051007014,65534,12219.73186,4842.75,272.6065,8626.5,6654.603623,3401.25,10,2021-2024
"Division No.  7, Subd. I","Division No.  7, Subd. I",SNO,1007018,2021A00051007018,65535,11387.6545,5169,170.7966,8878.75,6904.198207,3530.25,10,2021-2024
"Division No.  7, Subd. G","Division No.  7, Subd. G",SNO,1007024,2021A00051007024,65535,12255.9133,3387,144.3455,8599.25,7014.432945,2349.25,10,2021-2024
"Division No.  7, Subd. E","Division No.  7, Subd. E",SNO,1007031,2021A00051007031,65535,10668.69317,3161,1631.5107,7951.5,5184.641151,2231,10,2021-2024
"Division No.  7, Subd. D","Division No.  7, Subd. D",SNO,1007038,2021A00051007038,65535,12495.46375,2691.25,2457.8483,7861.5,5335.589653,1858.25,10,2021-2024
"Division No.  7, Subd. N","Division No.  7, Subd. N",SNO,1007045,2021A00051007045,65535,12049.19255,3823.25,1402.0253,7851.25,5579.917852,2512.25,10,2021-2024
"Division No.  7, Subd. B","Division No.  7, Subd. B",SNO,1007051,2021A00051007051,65535,14593.33062,2720.5,858.9366,9190.25,6029.014802,1896.75,10,2021-2024
"Division No.  7, Subd. A","Division No.  7, Subd. A",SNO,1007056,2021A00051007056,65535,14291.38166,3990.25,287.6379,7972.5,6264.001424,2634.5,10,2021-2024
"Division No.  8, Subd. M","Division No.  8, Subd. M",SNO,1008001,2021A00051008001,65535,14784.87314,1809.75,658.7045,8156.5,6143.976939,1282.5,10,2021-2024
"Division No.  8, Subd. L","Division No.  8, Subd. L",SNO,1008008,2021A00051008008,65535,13129.70041,2214.25,1315.1186,8363,6129.260843,1534,10,2021-2024
"Division No.  8, Subd. I","Division No.  8, Subd. I",SNO,1008026,2021A00051008026,65534,17576.21278,1519,8.971,7623.75,6227.989598,1056,10,2021-2024
"Division No.  8, Subd. H","Division No.  8, Subd. H",SNO,1008031,2021A00051008031,65534,14682.77177,2595.75,178.0141,8353.5,6514.526258,1814,10,2021-2024
"Division No.  8, Subd. F","Division No.  8, Subd. F",SNO,1008042,2021A00051008042,65535,12414.53966,5287.5,106.3508,7606.5,6138.563025,3529.25,10,2021-2024
"Division No.  8, Subd. E","Division No.  8, Subd. E",SNO,1008046,2021A00051008046,65535,12066.40224,2468.5,707.9905,8097.5,6014.826695,1713.5,10,2021-2024
"Division No.  8, Subd. D","Division No.  8, Subd. D",SNO,1008052,2021A00051008052,65535,16361.14831,2937.25,20.1051,7804,5830.978116,1903.25,10,2021-2024
"Division No.  8, Subd. C","Division No.  8, Subd. C",SNO,1008058,2021A00051008058,65535,10857.20036,3552,1213.8847,7759.25,5967.14632,2407,10,2021-2024
"Division No.  8, Subd. P","Division No.  8, Subd. P",SNO,1008065,2021A00051008065,65535,9677.639708,4951.25,379.1857,7210.5,5630.389872,3029,10,2021-2024
"Division No.  8, Subd. O","Division No.  8, Subd. O",SNO,1008067,2021A00051008067,65535,11256.10755,3211,409.6555,8290.75,5888.911023,2201,10,2021-2024
"Division No.  8, Subd. A","Division No.  8, Subd. A",SNO,1008074,2021A00051008074,65535,12923.96957,2524.75,2270.17,8211.5,5597.269335,1678.5,10,2021-2024
"Division No.  9, Subd. A","Division No.  9, Subd. A",SNO,1009009,2021A00051009009,65535,10727.29984,1029.25,1726.942,8486.5,5217.142674,712.5,10,2021-2024
"Division No.  9, Subd. C","Division No.  9, Subd. C",SNO,1009021,2021A00051009021,65535,13229.87607,1624.25,1842.1375,7604.75,4585.553347,1127.5,10,2021-2024
"Division No.  9, Subd. D","Division No.  9, Subd. D",SNO,1009031,2021A00051009031,65534,10422.69397,1869.25,939.7442,7575.5,4322.402192,1298.75,10,2021-2024
"Division No.  9, Subd. H","Division No.  9, Subd. H",SNO,1009041,2021A00051009041,65535,12307.47946,2767,2096.2917,8577.75,5564.578777,1813.75,10,2021-2024
"Division No.  9, Subd. G","Division No.  9, Subd. G",SNO,1009047,2021A00051009047,65535,10926.8251,2220,1256.1198,8043,4787.568989,1498.75,10,2021-2024
"Division No. 10, Subd. B","Division No. 10, Subd. B",SNO,1010008,2021A00051010008,65534,8493.77146,631.75,35501.5594,6280.5,3649.504697,457.75,10,2021-2024
"Division No. 10, Subd. C","Division No. 10, Subd. C",SNO,1010020,2021A00051010020,65535,8503.794611,504.5,62096.9287,6474.5,3600.07166,359.5,10,2021-2024
"Division No. 10, Subd. D","Division No. 10, Subd. D",SNO,1010029,2021A00051010029,65535,15744.41648,371.75,64922.383,5586.75,2844.607827,245.5,10,2021-2024
"Division No. 10, Subd. E","Division No. 10, Subd. E",SNO,1010042,2021A00051010042,65534,7136.840946,496,24865.4889,5314.25,2309.652297,341.25,10,2021-2024
"Division No. 11, Subd. E","Division No. 11, Subd. E",SNO,1011040,2021A00051011040,65534,6955.212442,160.75,40487.588,5010.5,1435.229945,103.5,10,2021-2024
Portugal Cove South,Portugal Cove South,T,1001105,2021A00051001105,65534,12709.99854,7298.5,1.077,7368.5,5871.266365,4917.5,10,2021-2024
Trepassey,Trepassey,T,1001113,2021A00051001113,65534,13255.4404,6389.25,54.213,8976.5,7028.50765,4290.25,10,2021-2024
St. Shott's,St. Shott's,T,1001120,2021A00051001120,65534,12357.10094,7962.75,1.0729,7507.75,6157.757953,5368.25,10,2021-2024
Cape Broyle,Cape Broyle,T,1001126,2021A00051001126,65535,17244.34481,7959.5,10.0893,8483.5,7120.923178,5037.5,10,2021-2024
Renews-Cappahayden,Renews-Cappahayden,T,1001131,2021A00051001131,65535,11896.34527,6612.75,125.9269,8846,6574.885127,4363.5,10,2021-2024
Fermeuse,Fermeuse,T,1001136,2021A00051001136,65535,12561.46592,7766,38.3341,8838,6808.346651,4837.75,10,2021-2024
Port Kirwan,Port Kirwan,T,1001140,2021A00051001140,65534,13078.57139,7915,8.8374,7776.5,7018.04116,5157.5,10,2021-2024
Aquaforte,Aquaforte,T,1001144,2021A00051001144,65534,11375.7836,7507.25,6.8849,8388,6944.782543,4972.75,10,2021-2024
Ferryland,Ferryland,T,1001149,2021A00051001149,65535,13923.65151,5730.75,13.2186,8596.5,6941.423403,3921.75,10,2021-2024
St. Vincent's-St. Stephen's-Peter's River,St. Vincent's-St. Stephen's-Peter's River,T,1001169,2021A00051001169,65535,11871.94601,2404.25,86.6198,9034.5,6338.988627,1671.25,10,2021-2024
Gaskiers-Point La Haye,Gaskiers-Point La Haye,T,1001174,2021A00051001174,65535,15328.69888,5874.75,23.2882,8373,6827.925007,3880,10,2021-2024
St. Mary's,St. Mary's,T,1001178,2021A00051001178,65534,12733.2959,5874.75,36.4069,8398.5,7014.542158,3880,10,2021-2024
Riverhead,Riverhead,T,1001181,2021A00051001181,65535,11664.77992,7560,101.8361,8037.75,6603.439721,4548.75,10,2021-2024
Admirals Beach,Admirals Beach,T,1001186,2021A00051001186,65534,13780.89929,6680.25,24.2028,8190.5,6427.143948,4622.25,10,2021-2024
St. Joseph's,St. Joseph's,T,1001192,2021A00051001192,65535,12384.82201,7118.5,29.2212,8006.5,6814.09294,4505.75,10,2021-2024
Mount Carmel-Mitchells Brook-St. Catherine's,Mount Carmel-Mitchells Brook-St. Catherine's,T,1001197,2021A00051001197,65535,12374.50972,7616,60.7612,8046,7024.932879,4725.25,10,2021-2024
Colinet,Colinet,T,1001207,2021A00051001207,65534,10140.06131,7316,6.0117,7123,6627.788101,4554.75,10,2021-2024
Branch,Branch,T,1001219,2021A00051001219,65534,11617.86284,5234.75,16.1849,8883.5,6848.216966,3378.25,10,2021-2024
