CCSNAME,CSDNAME,CSDTYPE,CSDUID,DGUID,LANDAREA,PRUID,water_mask_max,water_mask_mean,water_mask_min,date
St. John's,St. John's,CY,1001519,2021A00051001519,446.0185,10,1,0.035396676,0,2000-2014
"Division No.  1, Subd. C","Division No.  1, Subd. C",SNO,1001214,2021A00051001214,815.6416,10,1,0.010143341,0,2000-2014
"Division No.  1, Subd. H","Division No.  1, Subd. H",SNO,1001357,2021A00051001357,57.2012,10,1,0.026668806,0,2000-2014
"Division No.  2, Subd. E","Division No.  2, Subd. E",SNO,1002001,2021A00051002001,136.5785,10,1,0.082742755,0,2000-2014
"Division No.  4, Subd. B","Division No.  4, Subd. B",SNO,1004006,2021A00051004006,1809.3355,10,1,0.019573573,0,2000-2014
"Division No.  7, Subd. F","Division No.  7, Subd. F",SNO,1007028,2021A00051007028,296.9469,10,1,0.055098403,0,2000-2014
"Division No.  8, Subd. G","Division No.  8, Subd. G",SNO,1008036,2021A00051008036,521.391,10,1,0.102651479,0,2000-2014
"Division No. 10, Subd. A","Division No. 10, Subd. A",SNO,1010001,2021A00051010001,3673.4632,10,1,0.025251018,0,2000-2014
Mount Pearl,Mount Pearl,CY,1001542,2021A00051001542,15.6508,10,0,0,0,2000-2014
Corner Brook,Corner Brook,CY,1005018,2021A00051005018,147.8817,10,1,0.016702057,0,2000-2014
Samiajij Miawpukek,Samiajij Miawpukek,IRI,1003801,2021A00051003801,16.7025,10,1,0.027552257,0,2000-2014
Natuashish 2,Natuashish 2,IRI,1010801,2021A00051010801,44.0062,10,1,0.022392527,0,2000-2014
Sheshatshiu 3,Sheshatshiu 3,IRI,1010802,2021A00051010802,8.4781,10,1,0.02358758,0,2000-2014
"Division No.  1, Subd. V","Division No.  1, Subd. V",SNO,1001101,2021A00051001101,870.8928,10,1,0.029414001,0,2000-2014
"Division No.  1, Subd. U","Division No.  1, Subd. U",SNO,1001124,2021A00051001124,742.3781,10,1,0.081776829,0,2000-2014
"Division No.  1, Subd. W","Division No.  1, Subd. W",SNO,1001155,2021A00051001155,821.9715,10,1,0.063319102,0,2000-2014
"Division No.  1, Subd. X","Division No.  1, Subd. X",SNO,1001203,2021A00051001203,567.6216,10,1,0.032722317,0,2000-2014
"Division No.  1, Subd. B","Division No.  1, Subd. B",SNO,1001234,2021A00051001234,454.3362,10,1,0.040290133,0,2000-2014
"Division No.  1, Subd. Y","Division No.  1, Subd. Y",SNO,1001293,2021A00051001293,190.7606,10,1,0.062462133,0,2000-2014
"Division No.  1, Subd. F","Division No.  1, Subd. F",SNO,1001321,2021A00051001321,173.0183,10,1,0.057685181,0,2000-2014
